filename,speaker
/home/hanqing/VGGVOX_python/ultra_data/hanqing-low/1.wav,1
/home/hanqing/VGGVOX_python/ultra_data/hanqing-low/2.wav,1
/home/hanqing/VGGVOX_python/ultra_data/hanqing-low/3.wav,1
/home/hanqing/VGGVOX_python/ultra_data/jianzhi-low/1.wav,2
/home/hanqing/VGGVOX_python/ultra_data/jianzhi-low/2.wav,2
/home/hanqing/VGGVOX_python/ultra_data/jianzhi-low/3.wav,2
/home/hanqing/VGGVOX_python/ultra_data/liuli-low/1.wav,3
/home/hanqing/VGGVOX_python/ultra_data/liuli-low/2.wav,3
/home/hanqing/VGGVOX_python/ultra_data/liuli-low/3.wav,3
/home/hanqing/VGGVOX_python/ultra_data/Nick-low/1.wav,4
/home/hanqing/VGGVOX_python/ultra_data/Nick-low/2.wav,4
/home/hanqing/VGGVOX_python/ultra_data/Nick-low/3.wav,4
/home/hanqing/VGGVOX_python/ultra_data/xiao-low/1.wav,5
/home/hanqing/VGGVOX_python/ultra_data/xiao-low/2.wav,5
/home/hanqing/VGGVOX_python/ultra_data/xiao-low/3.wav,5
