filename,speaker
/home/hanqing/1ASpeakerRecognition/ultraData/8/good/4.wav,8
/home/hanqing/1ASpeakerRecognition/ultraData/8/good/11.wav,8
/home/hanqing/1ASpeakerRecognition/ultraData/14/good/21.wav,14
/home/hanqing/1ASpeakerRecognition/ultraData/14/good/12.wav,14
/home/hanqing/1ASpeakerRecognition/ultraData/6/good/16.wav,6
/home/hanqing/1ASpeakerRecognition/ultraData/6/good/22.wav,6
/home/hanqing/1ASpeakerRecognition/ultraData/9/good/3.wav,9
/home/hanqing/1ASpeakerRecognition/ultraData/9/good/19.wav,9
/home/hanqing/1ASpeakerRecognition/ultraData/5/good/17.wav,5
/home/hanqing/1ASpeakerRecognition/ultraData/5/good/26.wav,5
/home/hanqing/1ASpeakerRecognition/ultraData/7/good/15.wav,7
/home/hanqing/1ASpeakerRecognition/ultraData/7/good/20.wav,7
/home/hanqing/1ASpeakerRecognition/ultraData/12/good/13.wav,12
/home/hanqing/1ASpeakerRecognition/ultraData/12/good/21.wav,12
/home/hanqing/1ASpeakerRecognition/ultraData/3/good/2.wav,3
/home/hanqing/1ASpeakerRecognition/ultraData/3/good/14.wav,3
/home/hanqing/1ASpeakerRecognition/ultraData/16/good/12.wav,16
/home/hanqing/1ASpeakerRecognition/ultraData/16/good/25.wav,16
/home/hanqing/1ASpeakerRecognition/ultraData/10/good/23.wav,10
/home/hanqing/1ASpeakerRecognition/ultraData/10/good/14.wav,10
/home/hanqing/1ASpeakerRecognition/ultraData/13/good/22.wav,13
/home/hanqing/1ASpeakerRecognition/ultraData/13/good/4.wav,13
/home/hanqing/1ASpeakerRecognition/ultraData/11/good/19.wav,11
/home/hanqing/1ASpeakerRecognition/ultraData/11/good/2.wav,11
/home/hanqing/1ASpeakerRecognition/ultraData/15/good/1.wav,15
/home/hanqing/1ASpeakerRecognition/ultraData/15/good/18.wav,15
/home/hanqing/1ASpeakerRecognition/ultraData/4/good/17.wav,4
/home/hanqing/1ASpeakerRecognition/ultraData/4/good/13.wav,4
