filename,speaker
/home/hanqing/1ASpeakerRecognition/ultraData/8/bad/20.wav,8
/home/hanqing/1ASpeakerRecognition/ultraData/8/bad/24.wav,8
/home/hanqing/1ASpeakerRecognition/ultraData/14/bad/5.wav,14
/home/hanqing/1ASpeakerRecognition/ultraData/14/bad/17.wav,14
/home/hanqing/1ASpeakerRecognition/ultraData/6/bad/8.wav,6
/home/hanqing/1ASpeakerRecognition/ultraData/6/bad/12.wav,6
/home/hanqing/1ASpeakerRecognition/ultraData/9/bad/14.wav,9
/home/hanqing/1ASpeakerRecognition/ultraData/9/bad/12.wav,9
/home/hanqing/1ASpeakerRecognition/ultraData/5/bad/16.wav,5
/home/hanqing/1ASpeakerRecognition/ultraData/5/bad/11.wav,5
/home/hanqing/1ASpeakerRecognition/ultraData/7/bad/17.wav,7
/home/hanqing/1ASpeakerRecognition/ultraData/7/bad/11.wav,7
/home/hanqing/1ASpeakerRecognition/ultraData/12/bad/5.wav,12
/home/hanqing/1ASpeakerRecognition/ultraData/12/bad/25.wav,12
/home/hanqing/1ASpeakerRecognition/ultraData/3/bad/5.wav,3
/home/hanqing/1ASpeakerRecognition/ultraData/3/bad/13.wav,3
/home/hanqing/1ASpeakerRecognition/ultraData/16/bad/5.wav,16
/home/hanqing/1ASpeakerRecognition/ultraData/16/bad/9.wav,16
/home/hanqing/1ASpeakerRecognition/ultraData/10/bad/16.wav,10
/home/hanqing/1ASpeakerRecognition/ultraData/10/bad/25.wav,10
/home/hanqing/1ASpeakerRecognition/ultraData/13/bad/13.wav,13
/home/hanqing/1ASpeakerRecognition/ultraData/13/bad/21.wav,13
/home/hanqing/1ASpeakerRecognition/ultraData/11/bad/19.wav,11
/home/hanqing/1ASpeakerRecognition/ultraData/11/bad/9.wav,11
/home/hanqing/1ASpeakerRecognition/ultraData/15/bad/16.wav,15
/home/hanqing/1ASpeakerRecognition/ultraData/15/bad/6.wav,15
/home/hanqing/1ASpeakerRecognition/ultraData/4/bad/7.wav,4
/home/hanqing/1ASpeakerRecognition/ultraData/4/bad/1.wav,4
